site_id,site_name,drainage_basin,state,stream_name,lat,lon,Sthlr_order,Elevation,Drainage_area,Dist_N_Platte,Gradient,Temp_warm,Site_length,Site_width,Site_width_water
HC00,I-25 State Land,North Platte,WY,Horse,41.464512,-104.86346,3,1787.6,581.21,163.28,0.00437,20.57511872,200,2.4,2.4
HC01,Rd-139,North Platte,WY,Horse,41.501999,-104.547236,4,1617.8,829.95,125.16,0.0038,21.79640094,250,3.8,3.8
HC02,Doskocil Land - Yoder,North Platte,WY,Horse,41.912415,-104.209851,5,1277.1,3382.44,37.06,0.0015,23.94769943,250,4.8,4.8
LR00,CO Headwaters,North Platte,CO,Laramie,40.677922,-105.855136,3,2612.5,63.83,272.5,0.0081,15.21025332,300,3.4,3.4
LR01,NF boundary,North Platte,WY,Laramie,40.788628,-105.882212,4,2515.5,178.14,251.85,0.004,15.82398968,300,5.4,4.6
LR02,BLM - Jelm,North Platte,WY,Laramie,41.030829,-106.037882,4,2369.5,905.19,207.9,0.00032,16.07672074,400,14.6,7.6
LR03,Pioneer Canal Div,North Platte,WY,Laramie,41.138216,-105.980393,4,2265.6,1115.22,188.89,0.0039,17.3443324,400,17.2,8.6
LR04,Debareds Ranch,North Platte,WY,Laramie,41.227001,-105.722747,4,2204.2,1725.86,167.59,0.0008,17.77399906,400,12.8,8.5
LR05,Laramie WY,North Platte,WY,Laramie,41.309678,-105.605355,5,2177.2,2683.25,280.09,0.00044,17.8419777,400,15.3,10.3
LR06,Tunnel Road,North Platte,WY,Laramie,41.927815,-105.414398,5,1959.9,5783.35,152.12,0.0033,18.8645939,400,11.5,10.5
LR07,Palmer Cayon road,North Platte,WY,Laramie,42.056708,-105.123964,5,1445.4,6366.59,81.28,0.00326,22.55073448,400,9.2,9.2
LR08,Loomis Ranch,North Platte,WY,Laramie,42.123592,-104.852362,5,1354.5,9553.86,42.72,0.000435,23.1596888,500,19.3,14.1
MB01,NF Headwaters,North Platte,WY,MedBow,41.515046,-106.371396,2,2632.6,65.87,147.54,0.0324,14.42261676,200,4.5,2.9
MB02,Elk Mtn,North Platte,WY,MedBow,41.605678,-106.416902,3,2324.8,185.55,141.54,0.0116,16.46714268,300,8.9,4.1
MB03,Johnson Ranch,North Platte,WY,MedBow,41.724793,-106.31846,4,2155.5,505,117.57,0.00288,17.60799458,300,10.4,10.1
MB04,Hanna Rd,North Platte,WY,MedBow,42.00988,-106.513402,5,1960.8,5302.44,29.66,0.00087,18.7807928,500,21.3,14.2
SW01,NF Headwaters,North Platte,WY,Sweetwater,42.565194,-109.062622,3,2554.6,40.48,290.13,0.0271,13.85363828,300,6.1,3.4
SW02,HWY 28,North Platte,WY,Sweetwater,42.373322,-108.879355,4,2176,1158.24,210.83,0.0052,16.81728634,400,7.9,5.8
SW03,TNC,North Platte,WY,Sweetwater,42.571843,-107.966105,5,2013.2,2447.33,146.57,0.0006,18.00873828,400,15.5,7.9
SW04,Independence Rock,North Platte,WY,Sweetwater,42.488328,-107.1476,5,1800.7,6102.62,31.2,0.00059,19.51407806,500,28.1,11.6